"","kTotal","kWithin","kOut","kDiff"
"ENSXMAG00000003013",360.214220428979,276.839850447208,83.3743699817705,193.465480465438
"ENSXMAG00000003082",361.951837289754,269.64959576442,92.3022415253337,177.347354239086
"ENSXMAG00000003083",367.712774540565,162.547789292858,205.164985247707,-42.6171959548484
"ENSXMAG00000003105",384.620551398865,155.778808592665,228.8417428062,-73.0629342135344
"ENSXMAG00000003112",383.251817786209,60.2086010789734,323.043216707235,-262.834615628262
"ENSXMAG00000003116",395.120564360307,162.266998915084,232.853565445223,-70.5865665301389
"ENSXMAG00000003120",405.923119687513,278.003428804046,127.919690883467,150.083737920579
"ENSXMAG00000003133",357.208121475481,43.7527502835624,313.455371191919,-269.702620908356
"ENSXMAG00000003156",354.911954462963,151.287118580463,203.6248358825,-52.3377173020371
"ENSXMAG00000003164",361.030938500235,279.594910682002,81.4360278182324,198.15888286377
"ENSXMAG00000003170",418.380191526029,141.884191980878,276.495999545152,-134.611807564274
"ENSXMAG00000003187",410.658793356316,74.3518950366839,336.306898319632,-261.955003282948
"ENSXMAG00000003196",365.997602535007,116.351128791776,249.646473743231,-133.295344951455
"ENSXMAG00000003215",367.063662409464,165.916088699226,201.147573710238,-35.2314850110119
"ENSXMAG00000003237",372.683418712381,98.4621270959416,274.221291616439,-175.759164520498
"ENSXMAG00000003303",382.31615039466,44.3438414725418,337.972308922118,-293.628467449576
"ENSXMAG00000003348",382.701259318829,252.918070359265,129.783188959563,123.134881399702
"ENSXMAG00000003362",426.449571956751,120.136024046332,306.313547910419,-186.177523864087
"ENSXMAG00000003365",372.774791748442,123.586890107157,249.187901641285,-125.601011534127
"ENSXMAG00000003369",388.763488399224,106.089517723086,282.673970676139,-176.584452953053
"ENSXMAG00000003393",406.13705952841,93.3324190134884,312.804640514922,-219.472221501433
"ENSXMAG00000003452",390.399580863028,133.24049846369,257.159082399338,-123.918583935647
"ENSXMAG00000003471",361.265656569072,256.528525438107,104.737131130966,151.791394307141
"ENSXMAG00000003476",406.033901368681,38.2376008671148,367.796300501566,-329.558699634452
"ENSXMAG00000003529",369.234612517106,154.277885100259,214.956727416847,-60.6788423165877
"ENSXMAG00000003549",380.600611754121,54.3098693285694,326.290742425552,-271.980873096982
"ENSXMAG00000003627",447.517846256197,213.646721010057,233.87112524614,-20.2244042360826
"ENSXMAG00000003798",373.936061219411,210.803072082225,163.132989137187,47.670082945038
"ENSXMAG00000003803",401.954999484552,101.928111289631,300.026888194921,-198.09877690529
"ENSXMAG00000003843",392.842512441271,143.132540459994,249.709971981277,-106.577431521284
"ENSXMAG00000003884",372.62956967769,141.41560228153,231.21396739616,-89.7983651146293
"ENSXMAG00000003888",358.302735820393,267.240225770166,91.0625100502274,176.177715719938
"ENSXMAG00000003895",366.159755762355,276.763447590926,89.3963081714285,187.367139419498
"ENSXMAG00000003904",361.971498606869,138.359513715723,223.611984891146,-85.2524711754223
"ENSXMAG00000003984",366.549634842234,248.297334810525,118.252300031709,130.045034778816
"ENSXMAG00000004012",477.421131874401,113.354794961019,364.066336913382,-250.711541952363
"ENSXMAG00000004021",418.804261940503,257.622390992031,161.181870948471,96.44052004356
"ENSXMAG00000004034",373.240502962458,75.1066210035909,298.133881958867,-223.027260955276
"ENSXMAG00000004048",470.410946957455,120.459354286959,349.951592670495,-229.492238383536
"ENSXMAG00000004062",379.459144195452,111.038579053769,268.420565141683,-157.381986087914
"ENSXMAG00000004067",376.563443871776,45.7834907725531,330.779953099223,-284.99646232667
