target_id	length	eff_length	est_counts	tpm
g428.t1	2829	2667.53	56	1.09965
g429.t1	939	777.532	210	14.1475
g431.t1	1098	936.532	0	0
g432.t1	2226	2064.53	0	0
g434.t1	954	792.532	0	0
g435.t1	1356	1194.53	0	0
g436.t1	1338	1176.53	653	29.0728
g437.t1	1314	1152.53	2721	123.667
g438.t1	1338	1176.53	8597	382.755
g439.t1	2139	1977.53	1133	30.0113
g440.t1	417	258.715	5	1.01234
g441.t1	3075	2913.53	2	0.0359574
g442.t1	489	328.723	0	0
g443.t1	2943	2781.53	366	6.89247
g444.t1	642	480.698	77	8.39067
g445.t1	1164	1002.53	218	11.3903
g446.t1	3018	2856.53	134	2.45722
g447.t1	1419	1257.53	1	0.0416542
g448.t1	1272	1110.53	0	0
g449.t1	1605	1443.53	34	1.23376
g450.t1	474	313.982	1	0.16683
g451.t1	1473	1311.53	65	2.59605
g452.t1	3102	2940.53	57	1.01538
g454.t1	2934	2772.53	17	0.321181
g458.t1	972	810.532	114	7.36737
g459.t1	1971	1809.53	60	1.73685
g460.t1	2211	2049.53	1	0.0255578
g462.t1	471	311.139	13	2.18861
g463.t1	2961	2799.53	0	0
g464.t1	966	804.532	94	6.12016
g465.t1	543	382.054	27	3.70183
g468.t1	1479	1317.53	78	3.10107
g471.t1	360	204.85	78	19.9451
g472.t1	1821	1659.53	3	0.0946921
g473.t1	1779	1617.53	32	1.03628
g474.t1	1107	945.532	37102	2055.41
g475.t1	1185	1023.53	264	13.5108
g477.t1	3588	3426.53	1	0.015287
g478.t1	5058	4896.53	10	0.106977
g479.t1	2235	2073.53	0	0
g480.t1	810	648.532	55	4.44231
g481.t1	1539	1377.53	66	2.50969
g482.t1	1074	912.532	260	14.9246
g483.t1	627	465.698	16	1.79967
g484.t1	4221	4059.53	394	5.08391
g485.t1	1587	1425.53	125	4.59315
g486.t1	1614	1452.53	0	0
g487.t1	2460	2298.53	150	3.41837
g488.t1	1554	1392.53	0	0
g489.t1	2001	1839.53	0	0
g490.t1	2286	2124.53	3	0.0739667
g491.t1	1989	1827.53	17	0.487261
g493.t1	600	438.698	189	22.567
g494.t1	1248	1086.53	72	3.47111
g495.t1	3087	2925.53	126	2.25602
g496.t1	1422	1260.53	0	0
g498.t1	1824	1662.53	126	3.96989
g499.t1	687	525.649	0	0
g500.t1	1251	1089.53	708	34.0386
g501.t1	1077	915.532	104	5.95028
g502.t1	2883	2721.53	124	2.38664
g503.t1	1470	1308.53	10	0.400307
g504.t1	435	276.068	0	0
g505.t1	2166	2004.53	79	2.06439
g506.t1	624	462.698	0	0
g507.t1	5004	4842.53	0	0
g508.t1	786	624.532	30	2.5162
g509.t1	2871	2709.53	29	0.560637
g512.t1	2886	2724.53	3	0.0576776
g513.t1	768	606.532	0	0
g514.t1	1344	1182.53	101	4.4739
