target_id	length	eff_length	est_counts	tpm
g3661.t1	978	769.535	1762	207.494
g3662.t1	1239	1030.54	217	19.082
g3663.t1	1050	841.535	211	22.7216
g3664.t1	786	577.858	69	10.8207
g3665.t1	2127	1918.54	135	6.37664
g3666.t1	1617	1408.54	848	54.5577
g3667.t1	2511	2302.54	34	1.33814
g3668.t1	1374	1165.54	173	13.4508
g3670.t1	3531	3322.54	1.00945	0.0275322
g3671.t1	3210	3001.54	7	0.21134
g3672.t1	2322	2113.54	4	0.171506
g3674.t1	1374	1165.54	399	31.0224
g3675.t1	6939	6730.54	98	1.31949
g3676.t1	4131	3922.54	225	5.19809
g3677.t1	1545	1336.54	114	7.72952
g3678.t1	552	346.276	0	0
g3679.t1	408	210.017	34	14.6708
g3680.t1	552	346.276	1370	358.531
g3681.t1	978	769.535	0	0
g3682.t1	4566	4357.54	1211	25.1844
g3684.t1	2346	2137.54	417	17.6787
g3685.t1	3168	2959.54	1053	32.2428
g3686.t1	543	337.517	393	105.518
g3688.t1	1401	1192.54	321	24.3928
g3690.t1	1518	1309.54	265	18.3382
g3691.t1	726	518.128	809	141.494
g3692.t1	585	378.476	203	48.6055
g3693.t1	2022	1813.54	609	30.4312
g3694.t1	1017	808.535	189	21.1832
g3695.t1	5469	5260.54	1878	32.3514
g3696.t1	891	682.535	733	97.3211
g3697.t1	2019	1810.54	149	7.45774
g3698.t1	5760	5551.54	1125	18.364
g3699.t1	735	527.023	140	24.0728
g3700.t1	942	733.535	2272	280.683
g3701.t1	8784	8575.54	114	1.20468
g3703.t1	921	712.535	194	24.6731
g3704.t1	1182	973.535	265	24.6673
g3705.t1	1518	1309.54	784	54.2534
g3706.t1	321	136.252	21	13.967
g3707.t1	1080	871.535	289	30.0498
g3708.t1	873	664.603	174	23.7255
g3709.t1	2613	2404.54	125	4.71093
g3710.t1	3495	3286.54	504	13.897
g3713.t1	477	274.177	380	125.597
g3714.t1	522	317.208	341	97.4177
g3715.t1	990	781.535	54	6.26143
g3716.t1	1014	805.535	828	93.1481
g3717.t1	1392	1183.54	70	5.35975
g3718.t1	2109	1900.54	1929	91.9781
g3719.t1	1788	1579.54	823	47.217
g3720.t1	3162	2953.54	2194	67.3167
g3721.t1	3399	3190.54	852	24.1994
g3722.t1	1683	1474.54	5671	348.524
g3724.t1	1152	943.535	152	14.5987
g3725.t1	768	559.915	98	15.8611
g3728.t1	363	170.795	26	13.7951
g3730.t1	321	136.252	0	0
g3731.t1	357	165.983	46	25.1143
g3732.t1	606	398.974	52	11.811
g3735.t1	996	787.535	582	66.9701
g3737.t1	1269	1060.54	2510	214.475
g3738.t1	627	419.727	4102.48	885.744
g3739.t1	2571	2362.54	277	10.625
g3740.t1	1536	1327.54	0	0
g3741.t1	1263	1054.54	14	1.20308
g3742.t1	1821	1612.54	28	1.57354
g3743.t1	969	760.535	852	101.519
g3744.t1	897	688.535	10	1.31614
g3745.t1	3024	2815.54	57	1.8346
g3746.t1	1971	1762.54	65	3.34198
g3747.t1	327	141.293	0	0
g3748.t1	7968	7759.54	583	6.80865
g3749.t1	768	559.915	27	4.36988
g3750.t1	774	565.915	19	3.0425
g3752.t1	786	577.858	121	18.9755
g3753.t1	852	643.734	5	0.703869
g3754.t1	1953	1744.54	247	12.8306
g3755.t1	1395	1186.54	111	8.47755
g3756.t1	915	706.535	136	17.4435
g3757.t1	1032	823.535	0	0
g3758.t1	2916	2707.54	58	1.94125
g3759.t1	1074	865.535	21	2.19868
g3760.t1	879	670.603	326	44.0535
g3761.t1	3669	3460.54	2212	57.9255
g3762.t1	2115	1906.54	588	27.9486
g3763.t1	2415	2206.54	254	10.4316
g3764.t1	1749	1540.54	6	0.352946
g3765.t1	1194	985.535	111	10.2065
g3766.t1	1854	1645.54	273	15.0343
g3767.t1	3516	3307.54	152	4.16454
g3768.t1	1134	925.535	53	5.18933
g3769.t1	2325	2116.54	93	3.98186
g3770.t1	1371	1162.54	93	7.24945
g3771.t1	891	682.535	1072	142.33
g3772.t1	1557	1348.54	4032	270.948
g3773.t1	999	790.535	94	10.7754
g3774.t1	2373	2164.54	144	6.02873
g3776.t1	1524	1315.54	707	48.7018
g3779.t1	510	305.743	406	120.337
g3780.t1	3033	2824.54	14	0.449168
g3782.t1	1110	901.535	6043	607.432
g3784.t1	3009	2800.54	364	11.7785
g3785.t1	852	643.734	7	0.985416
g3786.t1	813	604.798	362	54.2408
g3787.t1	582	375.476	74	17.8598
g3788.t1	726	518.128	44	7.69562
g3789.t1	822	613.798	1404	207.286
g3791.t1	1503	1294.54	814	56.9821
g3793.t1	4443	4234.54	305	6.52713
g3794.t1	7836	7627.54	833	9.89666
g3795.t1	1155	946.535	69	6.60603
g3796.t1	735	527.023	54	9.28522
g3798.t1	3300	3091.54	409	11.9888
g3799.t1	3894	3685.54	284	6.98306
g3801.t1	1317	1108.54	236	19.2926
g3802.t1	2889	2680.54	2871	97.0599
g3803.t1	2829	2620.54	397	13.7287
g3804.t1	435	234.843	0	0
g3805.t1	4161	3952.54	865	19.8321
g3807.t1	2067	1858.54	557	27.1589
g3808.t1	2166	1957.54	193	8.93461
g3809.t1	2454	2245.54	831	33.5358
g3810.t1	2463	2254.54	343	13.7869
g3811.t1	2568	2359.54	511	19.6256
g3812.t1	651	443.595	85	17.3644
g3815.t1	1566	1357.54	147	9.81283
g3816.t1	3330	3121.54	343	9.95758
g3818.t1	363	170.795	1	0.530583
g3820.t1	240	76.9919	6	7.06211
g3821.t1	1122	913.535	59	5.85268
g3822.t1	336	148.584	346	211.024
g3823.t1	1020	811.535	190	21.2165
g3824.t1	1755	1546.54	47	2.75401
g3827.t1	861	652.734	569	78.9958
g3828.t1	3078	2869.54	718	22.6747
g3829.t1	2535	2326.54	4054	157.907
g3830.t1	4554	4345.54	492	10.2601
g3832.t1	864	655.734	123	16.9983
g3833.t1	1623	1414.54	3377	216.344
g3835.t1	1827	1618.54	2324	130.119
g3836.t1	1839	1630.54	52	2.89002
g3837.t1	2940	2731.54	591	19.6069
g3838.t1	1323	1114.54	50	4.06541
g3839.t1	2007	1798.54	587	29.5765
g3840.t1	5058	4849.54	286	5.34434
g3841.t1	375	181.066	1	0.500485
g3842.t1	2367	2158.54	367	15.4076
g3843.t1	1914	1705.54	2567	136.393
g3844.t1	1575	1366.54	637	42.2422
g3845.t1	2421	2212.54	145	5.9389
g3847.t1	2658	2449.54	443	16.3888
g3848.t1	693	485.228	244	45.5693
g3849.t1	639	431.727	833	174.849
g3850.t1	696	488.228	142	26.3569
